,web_url,pub_date,document_type,news_desk,section_name,type_of_material,main_headline,print_headline,by
84,https://www.nytimes.com/2020/01/01/sports/david-stern-death-legacy.html,2020-01-01T22:57:20+0000,article,Sports,Sports,News,David Stern Saw Where the Sports World Was Headed Long Before It Got There,The World Bought the Player-First Vision That Stern Was Selling,Matthew Futterman
85,https://www.nytimes.com/2020/01/01/us/politics/pete-buttigieg-mayor-south-bend.html,2020-01-01T23:05:49+0000,article,Politics,U.S.,News,He’s Not ‘Mayor Pete’ Anymore: Buttigieg’s Successor Is Sworn In,"Term Over, Mayor Pete Is No Longer A Mayor",Trip Gabriel
86,https://www.nytimes.com/2020/01/01/us/drones-FAA-colorado-nebraska.html,2020-01-01T23:06:59+0000,article,National,U.S.,News,‘It’s Creepy’: Unexplained Drones Are Swarming by Night Over Colorado,‘It’s Creepy’: Unexplained Drones Swarm by Night Over Prairie,Mitch Smith
87,https://www.nytimes.com/2020/01/01/us/politics/pompeo-cancels-ukraine-trip.html,2020-01-01T23:10:00+0000,article,Washington,U.S.,News,Pompeo Cancels Ukraine Trip Amid Protests at Embassy in Iraq,Pompeo Cancels Ukraine Trip Over Iraq,Edward Wong
88,https://www.nytimes.com/2020/01/01/us/new-year-shootings.html,2020-01-01T23:21:49+0000,article,National,U.S.,News,"In a Deadly Start to 2020, Gunfire Erupts Across America",Gunfire Erupts in Several Cities as 2020 Gets Off to a Deadly Start,Tim Arango
89,https://www.nytimes.com/2020/01/01/smarter-living/5-cheap-ish-things-for-your-home-gym.html,2020-01-01T23:32:49+0000,article,Smarter Living,Smarter Living,News,5 Cheap(ish) Things for Your Home Gym,,Ingrid Skjong
90,https://www.nytimes.com/2020/01/01/opinion/trump-2020.html,2020-01-02T00:00:06+0000,article,OpEd,Opinion,Op-Ed,Already Had Plenty of Trump 2020?,Already Had Plenty of Trump 2020?,Gail Collins
91,https://www.nytimes.com/2020/01/01/opinion/china-swine-fever.html,2020-01-02T00:00:08+0000,article,OpEd,Opinion,Op-Ed,Why Did One-Quarter of the World’s Pigs Die in a Year?,,Yanzhong Huang
92,https://www.nytimes.com/2020/01/01/us/scandies-rose-fishing-boat-alaska.html,2020-01-02T00:20:27+0000,article,Express,U.S.,News,Coast Guard Suspends Search for 5 Missing After Fishing Boat Sinks Off Alaska,,Aimee Ortiz
93,https://www.nytimes.com/2020/01/01/sports/basketball/david-stern-commissioner-timeline.html,2020-01-02T01:21:49+0000,article,Sports,Sports,News,"N.B.A. Superstars, Growth and Lockouts: The David Stern Years","A Sometimes Tumultuous but Never Boring Era of Superstars, Growth and Lockouts",Kevin Draper
94,https://www.nytimes.com/2020/01/01/sports/ncaafootball/rose-bowl-oregon.html,2020-01-02T02:47:06+0000,article,Sports,Sports,News,"In Rose Bowl Victory Over Wisconsin, Oregon Shows Rebuild Needs Work","Ducks Prevail, but Their Shift to a More Bruising Style Takes Its Lumps",Billy Witz
95,https://www.nytimes.com/2020/01/01/crosswords/daily-puzzle-2020-01-02.html,2020-01-02T03:00:02+0000,article,Games,Crosswords & Games,News,Where Darth Vader Gets His Strength,,Deb Amlen
96,https://www.nytimes.com/2020/01/01/obituaries/don-larsen-dead.html,2020-01-02T03:51:50+0000,article,Obits,Obituaries,Obituary (Obit),"Don Larsen, Yankee Who Pitched Only Perfect Game in World Series History, Dies at 90","Don Larsen, 90, Dies; a Burly Yankee Who Pitched the Only Perfect World Series Game",Richard Goldstein
97,https://www.nytimes.com/2020/01/01/pageoneplus/corrections-jan-02-2020.html,2020-01-02T04:20:13+0000,article,Corrections,Corrections,News,"No Corrections: Jan. 2, 2020",,
